concept_id,excluded,descendants,mapped
374905,FALSE,TRUE,FALSE
434172,FALSE,TRUE,FALSE
435524,FALSE,TRUE,FALSE
435657,FALSE,TRUE,FALSE
436522,FALSE,TRUE,FALSE
443544,FALSE,TRUE,FALSE
3173994,FALSE,TRUE,FALSE
4086851,FALSE,TRUE,FALSE
4102985,FALSE,TRUE,FALSE
4115402,FALSE,TRUE,FALSE
4132137,FALSE,TRUE,FALSE
4200883,FALSE,TRUE,FALSE
4204989,FALSE,TRUE,FALSE
4215402,FALSE,TRUE,FALSE
4305303,FALSE,TRUE,FALSE
37110488,FALSE,TRUE,FALSE
40480927,FALSE,TRUE,FALSE
40482260,FALSE,TRUE,FALSE
42689991,FALSE,TRUE,FALSE
42689992,FALSE,TRUE,FALSE
42690122,FALSE,TRUE,FALSE
42690123,FALSE,TRUE,FALSE
42690379,FALSE,TRUE,FALSE
42690380,FALSE,TRUE,FALSE
42690715,FALSE,TRUE,FALSE
43530738,FALSE,TRUE,FALSE
