Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions,new_descriptions
Cancer,188287005,B510500,mar-cancer,malignant neoplasm of thalamus,,,,Malignant neoplasm of thalamus
Cancer,363467004,B511.,,Malig neop frontal lobe,,,,Malignant neoplasm of frontal lobe
Cancer,363468009,B512.,,Malig neop temporal lobe,,,,Malignant neoplasm of temporal lobe
Cancer,188289008,B5120,,Malig neop hippocampus,,,,Malignant neoplasm of hippocampus
Cancer,188290004,B5121,,Malignant neoplasm of uncus,,,,Malignant neoplasm of uncus
Cancer,363469001,B513.00,mar-cancer,malignant neoplasm of parietal lobe,,,,Malignant neoplasm of parietal lobe
Cancer,363470000,B514.,,Malig neop occipital lobe,,,,Malignant neoplasm of occipital lobe
Cancer,363471001,B515.00,mar-cancer,malignant neoplasm of cerebral ventricles,,,,Malignant neoplasm of cerebral ventricles
Cancer,188292007,B5150,,Malig neop choroid plexus,,,,Malignant tumour of choroid plexus
Cancer,188293002,B5151,,Malig neop floor of ventricle,,,,Malignant neoplasm of floor of cerebral ventricle
Cancer,93746009,B516.,,Malig neop cerebellum,,,,Malignant neoplasm of cerebellum
Cancer,449420002,B516.,,Malig neop cerebellum,,,,Malignant neoplasm of cerebellum (disorder)
Cancer,363473003,B517.,,Malig neop brain stem,,,,Malignant neoplasm of brainstem
Cancer,188295009,B517000,mar-cancer,malignant neoplasm of cerebral peduncle,,,,Malignant neoplasm of cerebral peduncle
Cancer,188296005,B5171,,Malig neop medulla oblongata,,,,Malignant neoplasm of medulla oblongata
Cancer,188297001,B517200,mar-cancer,malignant neoplasm of midbrain,,,,Malignant neoplasm of midbrain
Cancer,188298006,B517300,mar-cancer,malignant neoplasm of pons,,,,Malignant neoplasm of pons
Cancer,126952004,B51y.00,mar-cancer,malignant neoplasm of other parts of brain,,,,Neoplasm of brain
Cancer,188301005,B51y0,,Malig neop corpus callosum,,,,Malignant neoplasm of corpus callosum
Cancer,188302003,B51y1,,Malignant neoplasm of tapetum,,,,Malignant neoplasm of tapetum
Cancer,109912006,B51y200,mar-cancer,"malignant neoplasm, overlapping lesion of brain",,,,Overlapping malignant neoplasm of brain
Cancer,372063002,B52..00,mar-cancer,malig neop of other and unspecified parts of nervous system,,,,Malignant neoplasm of nervous system (disorder)
Cancer,188307009,B520.,,Malig neop cranial nerves,,,,Malignant tumour of cranial nerve
Cancer,188308004,B5200,,Malig neop olfactory bulb,,,,Malignant neoplasm of olfactory bulb
Cancer,363498002,B520100,mar-cancer,malignant neoplasm of optic nerve,,,,Malignant tumor of optic nerve
Cancer,254980001,B520200,mar-cancer,malignant neoplasm of acoustic nerve,,,,Malignant tumor of acoustic vestibular nerve
Cancer,363474009,B521.,,Malig neop cerebral meninges,,,,Malignant neoplasm of cerebral meninges
Cancer,188312005,B5210,,Malig neop cerebral dura mater,,,,Malignant neoplasm of cerebral dura mater
Cancer,188313000,B5211,,Malig neop cereb arach mater,,,,Malignant neoplasm of cerebral arachnoid mater
Cancer,188315007,B5212,,Malig neop cerebral pia mater,,,,Malignant neoplasm of cerebral pia mater
Cancer,363475005,B522.,,Malig neop spinal cord,,,,Malignant tumour of spinal cord
Cancer,363476006,B523.,,Malig neop spinal meninges,,,,Malignant neoplasm of spinal meninges
Cancer,188317004,B5230,,Malig neop spinal dura mater,,,,Malignant neoplasm of spinal dura mater
Cancer,188318009,B5231,,Malig neop spinal arach mater,,,,Malignant neoplasm of spinal arachnoid mater
Cancer,188319001,B5232,,Malig neop spinal pia mater,,,,Malignant neoplasm of spinal pia mater
Cancer,363497007,B523z00,mar-cancer,malignant neoplasm of spinal meninges nos,,,,Malignant tumour of meninges
Cancer,188321006,B524.00,mar-cancer,malig neopl peripheral nerves and autonomic nervous system,,,,Malignant neoplasm of peripheral nerves and autonomic nervous system
